Dep,Work center,Material,QTY,Standard Earned Hours,131,132,551,552
,MX-MET06,2.30004E+11,-41.0,-0.97,0,0,-41.0,0
,,23003823080B,-1.0,0.0,0,0,-1.0,0
INJECTION,MX_INY28,23003908025B,-2.0,-0.06,0,0,-2.0,0
INJECTION,MX_INY28,23003908030B,268.0,3.35,296.0,0,-28.0,0
,,2300023035AE,-2.0,0.0,0,0,-2.0,0
,,2300035175AD,-2.0,0.0,0,0,-2.0,0
INJECTION,MX_INY13,23003784070B,370.0,1.83,382.0,0,-12.0,0
INJECTION,MX_INY13,23003785070B,374.0,1.85,382.0,0,-8.0,0
INJECTION,MX_INY03,23003785080A,-1.0,-0.01,0,0,-1.0,0
,,23003785300G,-6.0,0.0,0,0,-6.0,0
,,2.30038E+11,-5.0,0.0,0,0,-5.0,0
ASSEMBLY,MX_ASM13,230F03660300,9.0,2.02,9.0,0,0,0
ASSEMBLY,MX_ASM13,230F03661300,49.0,11.02,49.0,0,0,0
INJECTION,MX_INY05,23003660010I,-27.0,-0.31,0,0,-27.0,0
INJECTION,MX_INY19,23003660020A,-13.0,-0.16,0,0,-13.0,0
MET,MX-MET03,23003660031E,-7.0,-0.09,0,0,-7.0,0
INJECTION,MX_INY05,23003660040L,-22.0,-0.24,0,0,-22.0,0
MET,MX-MET02,23003660041L,-6.0,-0.11,0,0,-6.0,0
INJECTION,MX_INY07,23003660050C,-24.0,-0.23,0,0,-24.0,0
INJECTION,MX_INY05,23003661010I,-24.0,-0.27,0,0,-24.0,0
INJECTION,MX_INY19,23003661020A,-24.0,-0.3,0,0,-24.0,0
MET,MX-MET03,23003661031E,-4.0,-0.05,0,0,-4.0,0
INJECTION,MX_INY05,23003661040L,-26.0,-0.28,0,0,-26.0,0
INJECTION,MX_INY07,23003661050C,-27.0,-0.25,0,0,-27.0,0
INJECTION,MX_INY21,23003825020B,-3.0,-0.06,0,0,-3.0,0
INJECTION,MX_INY21,23003825050E,-3.0,-0.04,0,0,-3.0,0
MET,MX-MET03,23003788061D,20.0,0.18,20.0,0,0,0
INJECTION,MX_INY28,23003908040B,316.0,3.95,346.0,0,-30.0,0
ASSEMBLY,MX_ASM13,230F03660500,42.0,8.19,42.0,0,0,0
ASSEMBLY,MX_ASM13,230F03661500,44.0,8.58,44.0,0,0,0
ASSEMBLY,MX_ASM13,230F03662700,337.0,54.06,337.0,0,0,0
ASSEMBLY,MX_ASM13,230F03663700,335.0,53.74,335.0,0,0,0
INJECTION,MX_INY29,2300200405AD,108.0,3.53,131.0,0,-23.0,0
INJECTION,MX_INY18,23003826020C,0.0,0.0,8.0,0,-8.0,0
INJECTION,MX_INY18,2300800401AA,450.0,6.56,463.0,0,-13.0,0
INJECTION,MX_INY12,23003660060B,-5.0,-0.03,0,0,-5.0,0
INJECTION,MX_INY10,23003660070B,-5.0,-0.05,0,0,-5.0,0
,,23003660121A,-5.0,0.0,0,0,-5.0,0
INJECTION,MX_INY12,23003661060B,-3.0,-0.02,0,0,-3.0,0
INJECTION,MX_INY10,23003661070B,-3.0,-0.03,0,0,-3.0,0
,,23003661121A,-3.0,0.0,0,0,-3.0,0
INJECTION,MX_INY17,23003662010H,-8.0,-0.09,0,0,-8.0,0
INJECTION,MX_INY03,23003662040E,-7.0,-0.09,0,0,-7.0,0
INJECTION,MX_INY15,23003662050B,-7.0,-0.04,0,0,-7.0,0
INJECTION,MX_INY17,23003663010H,-8.0,-0.09,0,0,-8.0,0
INJECTION,MX_INY03,23003663040E,-14.0,-0.18,0,0,-14.0,0
INJECTION,MX_INY15,23003663050B,-11.0,-0.06,0,0,-11.0,0
MET,MX-MET02,23003661041L,-3.0,-0.05,0,0,-3.0,0
INJECTION,MX_INY07,23003788040D,-1.0,-0.01,0,0,-1.0,0
INJECTION,MX_INY03,23003784080A,-1.0,-0.01,0,0,-1.0,0
,,23003785111B,-2.0,0.0,0,0,-2.0,0
,,23003785140B,-1.0,0.0,0,0,-1.0,0
,,23003784350G,-4.0,0.0,0,0,-4.0,0
INJECTION,MX_INY18,2300800401AC,242.0,3.53,277.0,0,-35.0,0
