Company Code,Plant,Material,Material Description,Material Doc.Item,Posting Date,Storage Location,Movement Type,Qty in unit of entry,Unit of Entry,Cost Center,Currency,Amt.in Loc.Cur.,Local Entry Time,User Name,Document Header Text
2310,2311,23F03785000H,3CN.945.095H RL LH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:06:38,B-P0A-2310,4515307
2310,2311,2300300773AE,HOUSING T2 PA1 COUPE,1,3/23/2024,702,131,1,PC,,MXN,107.59,23.03.2024  13:06:39,B-P0A-2310,4515308
2310,2311,23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,340.02",23.03.2024  13:06:40,B-P0A-2310,4515309
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:06:41,B-P0A-2310,4515310
2310,2311,23F03785000H,3CN.945.095H RL LH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:06:44,B-P0A-2310,4515311
2310,2311,23F03785000H,3CN.945.095H RL LH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:06:46,B-P0A-2310,4515312
2310,2311,23003837041C,REFLECTOR MTLZ LH R.L. AU426PA -,1,3/23/2024,702,131,45,PC,,MXN,"1,791.73",23.03.2024  13:06:48,B-P0A-2310,4515290
2310,2311,23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,634.38,23.03.2024  13:06:49,B-P0A-2310,4515313
2310,2311,23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,1,3/23/2024,702,131,1,PC,,MXN,"1,340.02",23.03.2024  13:06:51,B-P0A-2310,4515314
2310,2311,23003837010F,HOUSING LH R.L. AU426PA – ECE,1,3/23/2024,702,131,1,PC,,MXN,22.09,23.03.2024  13:06:52,B-P0A-2310,4515316
2310,2311,2300500541AE,REFLECTOR T2 PA1 COUPE,1,3/23/2024,701,131,36,PC,,MXN,"2,765.52",23.03.2024  13:06:52,B-P0A-2310,4515315
2310,2311,2300300773AE,HOUSING T2 PA1 COUPE,1,3/23/2024,702,551,-1,PC,31100PR046,MXN,-107.59,23.03.2024  13:15:34,B-P0A-2310,4515340
2310,2311,23003784040C,INNER FILTER RH TAIL LIGHT VW416 FL T1,1,3/23/2024,702,551,-1,PC,31100PR010,MXN,-9.07,23.03.2024  13:15:35,B-P0A-2310,4515361
2310,2311,23003785020A,OUTER LENS LH TAIL LIGHT VW416 FL T1,1,3/23/2024,702,551,-1,PC,31100PR017,MXN,-26.92,23.03.2024  13:15:35,B-P0A-2310,4515341
2310,2311,23003785030B,BEZEL LH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:15:35,B-P0A-2310,4515360
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:15:36,B-P0A-2310,4515348
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:15:36,B-P0A-2310,4515347
2310,2311,23003784030B,BEZEL RH TAIL LIGHT VW416 FL T1,1,3/23/2024,701,551,-1,PC,31100PR012,MXN,-19.19,23.03.2024  13:15:36,B-P0A-2310,4515346
2310,2311,233CN945093N,APP SUV SAE UNLIT EMBLEM 416 PA2,1,3/23/2024,702,131,20,PC,,MXN,"25,862.34",23.03.2024  13:15:37,B-P0A-2310,4515302
2310,2311,23005744020A,LENS FRONT ROOF LIGHT,1,3/23/2024,702,131,120,PC,,MXN,438.56,23.03.2024  13:15:40,B-P0A-2310,4515362
